Gene,p-value,Fold Change,log2(Fold Change)
MAP3K5,6.321644687838091e-18,3.295875667646129,1.7206618198713677
ZSCAN21,6.346906604283506e-18,3.1162561105474715,1.6398138066451005
AK091028 /// GMDS-AS1,6.355124141302489e-18,3.2327066439588337,1.6927425942229868
ELAVL1,6.363502110720853e-18,3.1636707899117176,1.6615994814565826
C14orf37,6.3709035727400155e-18,3.064929201548899,1.6158537487108375
COPS2,6.424274364190158e-18,3.21603836755022,1.6852846180666712
HSPA14,6.454309092797515e-18,3.210348657934429,1.682729988860847
FUOM,6.456582754089082e-18,2.916513086601132,1.5442445476412021
AHNAK2,6.471775180233596e-18,5.983169369250694,2.5809099028256557
HADHA,6.479186187884146e-18,3.2000484663467867,1.6780937556215918
EGR4,6.4816973767868804e-18,2.700420550625271,1.4331841032223052
RNASEH2B,6.489315140724531e-18,3.0874761633777026,1.6264279985241887
TTI2,6.510643301484137e-18,3.0536003584606437,1.6105112610233798
DIO2-AS1,6.5388449612895606e-18,2.4631214928067386,1.3004877901377132
AX747730,6.5977010620312655e-18,3.008019458199989,1.5888138995148295
MBIP,6.6009369873441524e-18,3.4152744945914826,1.7720015363693025
KIAA1430,6.607527061486113e-18,3.210739214290214,1.6829054898754991
SEC11A,6.652463737877582e-18,3.2132115276957096,1.684015957439461
PPP2CA,6.658062087964824e-18,3.1987282798937478,1.6774984460643418
NUP153 /// RP11-500C11.3,6.661169595700777e-18,2.586699111316587,1.37111224735181
LUM,6.676062935853381e-18,3.260616736785082,1.7051448721090923
XK,6.705160181980664e-18,4.24018970753057,2.0841288128995563
LOC101929512,6.707625674957941e-18,2.6984503764957535,1.4321311569263544
ZNF14,6.7192556172031026e-18,3.146509505087935,1.6537523010610893
KCNIP3,6.723870021486895e-18,2.110976446085078,1.077910481429821
ZBTB43,6.729767638650134e-18,3.094147627830083,1.6295420322288958
TRAM2-AS1,6.735774725214348e-18,3.0928664974390334,1.6289445613161444
